timestamp_utc,compiler,compiler_version,build_type,kernel,optimization_level,m,n,k,run,time_ms,gflops,verified,max_abs_error,max_rel_error
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,256,256,256,1,14.507793,2.3128557183,true,1.25088075222e-05,0.354912794993
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,256,256,256,2,13.972789,2.40141263137,true,1.25088075222e-05,0.354912794993
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,256,256,256,3,15.054911,2.22880307961,true,1.25088075222e-05,0.354912794993
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,256,256,256,4,14.597941,2.29857292888,true,1.25088075222e-05,0.354912794993
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,256,256,256,5,14.921336,2.2487552053,true,1.25088075222e-05,0.354912794993
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,256,256,256,6,14.82414,2.2634994003,true,1.25088075222e-05,0.354912794993
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,256,256,256,7,14.355443,2.33740136058,true,1.25088075222e-05,0.354912794993
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,512,512,512,1,149.889788,1.79088555386,true,2.86839860273e-05,0.0940250526919
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,512,512,512,2,131.915461,2.03490518826,true,2.86839860273e-05,0.0940250526919
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,512,512,512,3,137.258439,1.95569363863,true,2.86839860273e-05,0.0940250526919
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,512,512,512,4,143.240412,1.87402041262,true,2.86839860273e-05,0.0940250526919
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,512,512,512,5,134.578534,1.99463798588,true,2.86839860273e-05,0.0940250526919
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,512,512,512,6,124.772546,2.15139840138,true,2.86839860273e-05,0.0940250526919
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,512,512,512,7,120.929992,2.21975914792,true,2.86839860273e-05,0.0940250526919
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,1024,1024,1024,1,3438.528398,0.62453567324,true,7.58949071269e-05,0.956272115438
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,1024,1024,1024,2,3618.754608,0.593431685932,true,7.58949071269e-05,0.956272115438
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,1024,1024,1024,3,3338.023875,0.643339810744,true,7.58949071269e-05,0.956272115438
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,1024,1024,1024,4,3464.703988,0.619817351046,true,7.58949071269e-05,0.956272115438
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,1024,1024,1024,5,3909.836956,0.54925145784,true,7.58949071269e-05,0.956272115438
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,1024,1024,1024,6,3254.587643,0.659832790989,true,7.58949071269e-05,0.956272115438
2026-09-12T10:53:04Z,GNU,16.1.1,Release,naive,default,1024,1024,1024,7,3276.27781,0.655464454646,true,7.58949071269e-05,0.956272115438
