timestamp_utc,compiler,compiler_version,build_type,kernel,target_isa,microkernel,block_size,optimization_level,m,n,k,run,time_ms,gflops,packing_time_ms,one_shot_time_ms,one_shot_gflops,verified,max_abs_error,max_rel_error
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,256,256,256,1,2.175288,15.4252825373,0,2.175288,15.4252825373,true,1.25088075222e-05,0.354912794993
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,256,256,256,2,2.151936,15.592671901,0,2.151936,15.592671901,true,1.25088075222e-05,0.354912794993
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,256,256,256,3,2.285291,14.6827830679,0,2.285291,14.6827830679,true,1.25088075222e-05,0.354912794993
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,256,256,256,4,2.363632,14.1961320544,0,2.363632,14.1961320544,true,1.25088075222e-05,0.354912794993
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,256,256,256,5,2.209032,15.1896541109,0,2.209032,15.1896541109,true,1.25088075222e-05,0.354912794993
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,256,256,256,6,2.231483,15.0368306637,0,2.231483,15.0368306637,true,1.25088075222e-05,0.354912794993
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,256,256,256,7,2.573172,13.0401045869,0,2.573172,13.0401045869,true,1.25088075222e-05,0.354912794993
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,512,512,512,1,19.018503,14.114436662,0,19.018503,14.114436662,true,2.86839860273e-05,0.0940250526919
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,512,512,512,2,18.041639,14.8786624098,0,18.041639,14.8786624098,true,2.86839860273e-05,0.0940250526919
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,512,512,512,3,19.101741,14.0529314056,0,19.101741,14.0529314056,true,2.86839860273e-05,0.0940250526919
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,512,512,512,4,18.532629,14.4844779443,0,18.532629,14.4844779443,true,2.86839860273e-05,0.0940250526919
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,512,512,512,5,18.760942,14.3082077648,0,18.760942,14.3082077648,true,2.86839860273e-05,0.0940250526919
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,512,512,512,6,17.75725,15.1169497529,0,17.75725,15.1169497529,true,2.86839860273e-05,0.0940250526919
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,512,512,512,7,18.366405,14.6155688062,0,18.366405,14.6155688062,true,2.86839860273e-05,0.0940250526919
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,1024,1024,1024,1,143.681523,14.9461364493,0,143.681523,14.9461364493,true,7.58949071269e-05,0.956272115438
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,1024,1024,1024,2,145.158984,14.794011289,0,145.158984,14.794011289,true,7.58949071269e-05,0.956272115438
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,1024,1024,1024,3,147.843332,14.5254007668,0,147.843332,14.5254007668,true,7.58949071269e-05,0.956272115438
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,1024,1024,1024,4,140.224321,15.3146303914,0,140.224321,15.3146303914,true,7.58949071269e-05,0.956272115438
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,1024,1024,1024,5,142.00351,15.1227504729,0,142.00351,15.1227504729,true,7.58949071269e-05,0.956272115438
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,1024,1024,1024,6,138.32026,15.5254454264,0,138.32026,15.5254454264,true,7.58949071269e-05,0.956272115438
2026-09-12T13:34:33Z,GNU,16.1.1,Release,ikj,generic,none,0,O3,1024,1024,1024,7,128.420956,16.7222213172,0,128.420956,16.7222213172,true,7.58949071269e-05,0.956272115438
